Class,Location,Day/Time
CMPM 118 - 01 DIS 01C,Sci & Engr Library 206,M 04:00PM-05:05PM
CMPM 118 - 01 DIS 01D,Sci & Engr Library 206,W 04:00PM-05:05PM
CMPM 118 - 01 DIS 01E,Sci & Engr Library 206,F 04:00PM-05:05PM
CMPM 118 - 03 DIS 03A,Soc Sci 2 141,M 05:20PM-06:55PM
CMPM 118 - 03 DIS 03B,Soc Sci 1 153,Th 05:20PM-06:55PM
CMPM 120 - 01 DIS 01A,Crown Clrm 208,M 09:20AM-10:25AM
CMPM 120 - 01 DIS 01B,Cowell Clrm 131,M 01:20PM-02:25PM
CMPM 120 - 01 DIS 01C,PhysSciences 130,W 12:00PM-01:05PM
CMPM 120 - 01 DIS 01D,PhysSciences 136,W 01:20PM-02:25PM
CMPM 120 - 01 DIS 01E,Engineer 2 192,Th 08:00AM-09:05AM
CMPM 120 - 01 DIS 01F,Soc Sci 2 179,F 09:20AM-10:25AM
CMPM 120 - 01 DIS 01G,Cowell Clrm 131,F 10:40AM-11:45AM
CMPM 120 - 01 DIS 01H,Cowell Clrm 131,F 01:20PM-02:25PM
CMPM 121 - 01 DIS 01A,Crown Clrm 208,W 01:20PM-02:25PM
CMPM 121 - 01 DIS 01B,Engineer 2 194,F 12:00PM-01:05PM
CMPM 121 - 02 DIS 02A,Crown Clrm 208,F 02:40PM-03:45PM
CMPM 121 - 02 DIS 02B,Engineer 2 194,M 09:20AM-10:25AM
CMPM 146 - 01 DIS 01A,Kresge Acad 3101,M 12:00PM-01:05PM
CMPM 146 - 01 DIS 01B,Engineer 2 194,M 02:40PM-03:45PM
CMPM 146 - 01 DIS 01C,Engineer 2 194,F 10:40AM-11:45AM
CMPM 146 - 01 DIS 01D,Engineer 2 194,F 02:40PM-03:45PM
CMPM 170 - 01 DIS 01A,Earth&Marine B210,Th 08:30AM-09:35AM
CMPM 170 - 01 DIS 01B,PhysSciences 136,M 12:00PM-01:05PM
CMPM 172 - 01 DIS 01A,PhysSciences 140,Tu 06:40PM-07:45PM
CMPM 172 - 01 DIS 01B,Earth&Marine B210,W 01:20PM-02:25PM
CMPM 172 - 02 DIS 02A,N. Sci Annex 103,Th 08:30AM-09:35AM
CMPM 172 - 02 DIS 02B,N. Sci Annex 102,F 10:40AM-11:45AM
CMPM 176 - 01 DIS 01A,R Carson  Acad 250,M 10:40AM-11:45AM
CMPM 176 - 01 DIS 01B,Cowell Clrm 131,W 08:00AM-09:05AM
CMPM 176 - 01 DIS 01C,R Carson  Acad 252,W 10:40AM-11:45AM
CMPM 176 - 01 DIS 01D,McHenry Lib 1350,Th 06:40PM-07:45PM
COWL 65 - 01 DIS 01A,Cowell Com 132,W 02:40PM-03:45PM
CRES 68 - 01 DIS 01A,Cowell Com 134,W 04:00PM-05:05PM
CRES 68 - 01 DIS 01B,R Carson  Acad 250,F 10:40AM-11:45AM
CRES 101 - 01 DIS 01A,R Carson  Acad 252,Th 06:40PM-07:45PM
CRES 101 - 01 DIS 01B,PhysSciences 130,W 02:40PM-03:45PM
CSE 12 - 01 #51472 LBS 01A,Kresge Acad 3401,M 09:30AM-11:30AM
CSE 12 - 01 #51426 LBS 01B,Kresge Acad 3401,M 11:45AM-01:45PM
CSE 12 - 01 #51372 LBS 01C,Kresge Acad 3401,Tu 11:45AM-01:45PM
CSE 12 - 01 #51407 LBS 01D,Kresge Acad 3401,W 09:30AM-11:30AM
CSE 12 - 01 #51454 LBS 01E,Kresge Acad 3401,W 02:15PM-04:15PM
CSE 12 - 01 #51260 LBS 01F,Kresge Acad 3401,F 01:45PM-03:45PM
CSE 13S - #51606 LBS 01A,Kresge Acad 3401,M 02:30PM-04:00PM
CSE 13S - #51607 LBS 01B,Kresge Acad 3401,Tu 10:00AM-11:30AM
CSE 13S - #51649 LBS 01C,Kresge Acad 3401,W 04:30PM-06:00PM
CSE 13S - #51622 LBS 01E,Kresge Acad 3401,Th 03:00PM-04:30PM
CSE 13S - #51630 LBS 01F,Kresge Acad 3401,F 09:30AM-11:00AM
CSE 13S - DIS 02A,Porter Acad 144,W 09:20AM-10:25AM
CSE 13S - DIS 02B,Cowell Clrm 131,Th 05:20PM-06:25PM
CSE 13S - DIS 02C,Cowell Clrm 131,Th 06:40PM-07:45PM
CSE 13S - DIS 02D,Cowell Clrm 131,F 04:00PM-05:05PM
CSE 13S - #51577 LBS 03A,Kresge Acad 3401,Th 10:45AM-11:50AM
CSE 13S - #51566 LBS 03B,Kresge Acad 3401,Th 01:45PM-02:50PM
CSE 16 - 02 DIS 02A,N. Sci Annex 102,M 12:00PM-01:05PM
CSE 16 - 02 DIS 02B,N. Sci Annex 102,M 01:20PM-02:25PM
CSE 16 - 02 DIS 02C,Cowell Acad 113,Tu 08:00AM-09:05AM
CSE 16 - 02 DIS 02D,Cowell Com 134,Tu 08:30AM-09:35AM
CSE 16 - 02 DIS 02E,N. Sci Annex 102,W 02:40PM-03:45PM
CSE 16 - 02 DIS 02F,Earth&Marine B214,F 04:00PM-05:05PM
CSE 20 - 01 #51444 LBS 01A,Soc Sci 1 135 PC Lab,M 03:15PM-04:15PM
CSE 20 - 01 #51513 LBS 01B,Soc Sci 1 135 PC Lab,M 04:30PM-05:30PM
CSE 20 - 01 #51402 LBS 01C,Soc Sci 1 135 PC Lab,Tu 10:00AM-11:00AM
CSE 20 - 01 #51380 LBS 01D,Soc Sci 1 135 PC Lab,Tu 11:15AM-12:15PM
CSE 20 - 01 #51304 LBS 01E,Soc Sci 1 135 PC Lab,W 04:45PM-05:45PM
CSE 20 - 01 #51381 LBS 01F,Soc Sci 1 135 PC Lab,Th 01:45PM-02:45PM
CSE 20 - 01 #51336 LBS 01G,Soc Sci 1 135 PC Lab,F 10:30AM-11:30AM
CSE 20 - 01 #53049 LBS 01H,Soc Sci 1 135 PC Lab,F 11:45AM-12:45PM
CSE 20 - 02 DIS 02B,PhysSciences 140,M 12:00PM-01:05PM
CSE 20 - 02 DIS 02C,PhysSciences 140,M 04:00PM-05:05PM
CSE 20 - 02 DIS 02D,McHenry Lib 1340,W 12:00PM-01:05PM
CSE 20 - 02 DIS 02F,McHenry Lib 1340,W 04:00PM-05:05PM
CSE 30 - 01 #51637 LBS 01A,Soc Sci 1 135 PC Lab,Tu 03:00PM-04:00PM
CSE 30 - 01 #51551 LBS 01B,Soc Sci 1 135 PC Lab,Tu 04:15PM-05:15PM
CSE 30 - 01 #51552 LBS 01C,Soc Sci 1 135 PC Lab,W 10:30AM-11:30AM
CSE 30 - 01 #51666 LBS 01D,Soc Sci 1 135 PC Lab,W 11:45AM-12:45PM
CSE 30 - 01 #51617 LBS 01E,Soc Sci 1 135 PC Lab,W 01:00PM-02:00PM
CSE 30 - 01 #51618 LBS 01F,Soc Sci 1 135 PC Lab,Th 10:00AM-11:00AM
CSE 30 - 02 DIS 02E,Oakes Acad 106,M 04:00PM-05:05PM
CSE 30 - 02 DIS 02F,PhysSciences 140,W 01:20PM-02:25PM
CSE 30 - 03 DIS 03B,PhysSciences 136,F 02:40PM-03:45PM
CSE 30 - 03 DIS 03C,Soc Sci 1 161,F 04:00PM-05:05PM
CSE 30 - 03 DIS 03D,J Baskin Engr 372,Tu 07:10PM-08:15PM
CSE 30 - 03 DIS 03E,PhysSciences 140,W 10:40AM-11:45AM
CSE 40 - 01 DIS 01A,Engineer 2 192,M 01:20PM-02:25PM
CSE 40 - 01 DIS 01B,Engineer 2 194,Tu 07:10PM-08:15PM
CSE 40 - 01 DIS 01C,PhysSciences 130,W 10:40AM-11:45AM
CSE 40 - 01 DIS 01D,Engineer 2 192,F 08:00AM-09:05AM
CSE 80N - #51735 LBS 01A,J Baskin Engr 105,W 03:30PM-04:35PM
CSE 80N - #51737 LBS 01C,J Baskin Engr 105,Th 01:00PM-02:05PM
CSE 80N - #51738 LBS 01D,J Baskin Engr 105,Th 02:15PM-03:20PM
CSE 101 - 01 DIS 01A,Engineer 2 192,M 05:20PM-06:25PM
CSE 101 - 01 DIS 01B,Engineer 2 192,M 06:40PM-07:45PM
CSE 101 - 01 DIS 01C,Oakes Acad 106,M 12:00PM-01:05PM
CSE 101 - 01 DIS 01D,Earth&Marine B214,W 04:00PM-05:05PM
CSE 101 - 01 DIS 01E,Engineer 2 194,W 12:00PM-01:05PM
CSE 101 - 01 DIS 01F,Soc Sci 2 179,F 04:00PM-05:05PM
CSE 101 - 02 DIS 02A,Engineer 2 192,M 02:40PM-03:45PM
CSE 101 - 02 DIS 02B,Engineer 2 192,W 05:20PM-06:25PM
CSE 101 - 02 DIS 02C,Engineer 2 192,W 04:00PM-05:05PM
CSE 101 - 02 DIS 02D,McHenry Lib 1340,W 09:20AM-10:25AM
CSE 101 - 02 DIS 02E,Engineer 2 194,M 10:40AM-11:45AM
CSE 101 - 02 DIS 02F,Engineer 2 194,M 08:00AM-09:05AM
CSE 101 - 02 DIS 02G,Engineer 2 194,F 08:00AM-09:05AM
CSE 101 - 02 DIS 02H,Engineer 2 194,F 04:00PM-05:05PM
CSE 102 - 01 DIS 01A,Steven Acad 152,Tu 05:20PM-06:25PM
CSE 102 - 01 DIS 01B,Kresge Acad 3301,Tu 08:30AM-09:35AM
CSE 102 - 01 DIS 01C,N. Sci Annex 103,W 02:40PM-03:45PM
CSE 102 - 01 DIS 01D,Earth&Marine B214,Th 01:30PM-02:35PM
CSE 102 - 01 DIS 01E,Earth&Marine B214,M 01:20PM-02:25PM
CSE 102 - 01 DIS 01F,Steven Acad 152,Tu 06:40PM-07:45PM
CSE 103 - 01 DIS 01A,Kresge Acad 3101,Tu 08:00AM-09:05AM
CSE 103 - 01 DIS 01B,PhysSciences 136,W 10:40AM-11:45AM
CSE 103 - 01 DIS 01C,PhysSciences 136,W 12:00PM-01:05PM
CSE 103 - 01 DIS 01D,Engineer 2 192,Th 06:40PM-07:45PM
CSE 103 - 01 DIS 01E,PhysSciences 140,F 09:20AM-10:25AM
CSE 103 - 01 DIS 01F,PhysSciences 136,F 10:40AM-11:45AM
CSE 103 - 01 DIS 01G,J Baskin Engr 156,M 01:20PM-02:25PM
CSE 103 - 01 DIS 01H,PhysSciences 140,W 06:40PM-07:45PM
CSE 103 - 01 DIS 01I,N. Sci Annex 103,Th 09:50AM-10:55AM
CSE 105 - 01 DIS 01A,Crown Clrm 201,Tu 03:20PM-04:25PM
CSE 105 - 01 DIS 01B,Crown Clrm 201,Tu 01:30PM-02:35PM
CSE 105 - 01 DIS 01D,Soc Sci 2 171,W 10:40AM-11:45AM
CSE 109 - 01 DIS 01A,R Carson  Acad 250,W 10:40AM-11:45AM
CSE 109 - 01 DIS 01B,PhysSciences 140,Th 07:10PM-08:15PM
CSE 114A - DIS 01A,R Carson Acad 242,Tu 08:30AM-09:35AM
CSE 114A - DIS 01B,Kresge Acad 3301,Th 07:10PM-08:15PM
CSE 114A - DIS 01C,Soc Sci 1 161,F 10:40AM-11:45AM
CSE 114A - DIS 01D,R Carson Acad 242,F 08:00AM-09:05AM
CSE 114A - DIS 01E,N. Sci Annex 103,M 06:40PM-07:45PM
CSE 114A - DIS 01F,R Carson  Acad 252,W 12:00PM-01:05PM
CSE 115C - DIS 01A,Oakes Acad 106,Tu 03:20PM-04:55PM
CSE 120 - 02 DIS 02A,PhysSciences 140,M 01:20PM-02:25PM
CSE 120 - 02 DIS 02B,PhysSciences 140,M 02:40PM-03:45PM
CSE 120 - 02 DIS 02C,Cowell Com 134,W 05:20PM-06:25PM
CSE 120 - 02 DIS 02D,PhysSciences 140,F 04:00PM-05:05PM
CSE 130 - 01 DIS 01A,R Carson  Acad 252,F 02:40PM-03:45PM
CSE 130 - 01 DIS 01B,R Carson  Acad 252,F 04:00PM-05:05PM
CSE 130 - 01 DIS 01C,PhysSciences 136,Th 01:30PM-02:35PM
CSE 130 - 01 DIS 01D,R Carson  Acad 250,Tu 08:30AM-09:35AM
CSE 130 - 01 DIS 01E,Earth&Marine B210,M 05:20PM-06:25PM
CSE 130 - 01 DIS 01F,Earth&Marine B210,W 06:40PM-07:45PM
CSE 130 - 02 #51364 LBS 02A,MingOng Cmp Lb 103,Th 05:00PM-06:05PM
CSE 130 - 02 #51404 LBS 02B,MingOng Cmp Lb 103,Th 06:15PM-07:20PM
CSE 130 - 02 #51365 LBS 02C,MingOng Cmp Lb 103,Th 07:30PM-08:35PM
CSE 130 - 02 #51292 LBS 02E,MingOng Cmp Lb 103,F 12:15PM-01:20PM
CSE 138 - 01 #53086 LBS 01A,J Baskin Engr 105,Tu 10:30AM-12:00PM
