Class,Location,Day/Time
BIOE 281M - 01   Population Genomics,SEM: TBD In Person,Day and Time:
BIOE 281N - 01   Marine Vert Ecology,SEM: TBD In Person,Day and Time:
BIOE 281O - 01   PlantWaterRelations,SEM: TBD In Person,Day and Time:
BIOE 281P - 01   Plant Population,SEM: TBD In Person,Day and Time:
BIOE 281R - 01   Mari Eco&Evol Biol,SEM: TBD In Person,Day and Time:
BIOE 281S - 01   Ancient DNA,SEM: TBD In Person,Day and Time:
BIOE 281T - 01   Evolutionary Develpmnt,SEM: TBD In Person,Day and Time:
BIOE 281U - 01   Invertebrate Biol,SEM: TBD In Person,Day and Time:
BIOE 281V - 01   Behavioral Ecology,SEM: TBD In Person,Day and Time:
BIOE 281W - 01   Exercise/Env Phys,SEM: TBD In Person,Day and Time:
BIOE 281X - 01   Topics in Marine Verts,SEM: TBD In Person,Day and Time:
BIOE 281Y - 01   Climate Change Biology,SEM: TBD In Person,Day and Time:
BIOE 281Z - 01   Cons Sci Changng World,SEM: TBD In Person,Day and Time:
"BIOE 294 - 01   Ecol, Evol Bio Sem",SEM: CoastBio 110,F 09:30AM-10:30AM
BIOL 15 - 01   Research Reports,SEM: J Baskin Engr 160,M 02:40PM-03:45PM
BIOL 20A - 01   Cell & Molecular Bi,LEC: Kresge Acad 3105,MWF 02:40PM-03:45PM
BIOL 20L - 01   Experimental Lab,LAB: Earth&Marine B206,M 01:20PM-02:25PM
BIOL 25 - 01   Seminar: Neuroscience,SEM: Thim Lecture 001,W 05:20PM-06:55PM
BIOL 80J - 01   Biology Emerging Disea,LEC: PhysSciences 110,MW 05:20PM-06:55PM
BIOL 86 - 01   Research Deconstruct,LEC,Cancelled Cancelled
BIOL 88 - 01   Studies in Medicine,LEC: McHenry Lib 1340,TuTh 03:20PM-04:55PM
BIOL 100 - 01   Biochemistry,LEC: J Bask Aud 101,MWF 04:00PM-05:05PM
BIOL 101L - 01   Molecular Bio Lab,LAB: Earth&Marine B206,M 02:40PM-03:45PM
BIOL 103L - 01   Toxic RNA Lab III,LAB,Day and Time:
BIOL 104B - 01   Hum Gen Var Lab II,LAB: TBD In Person,MWF 12:00PM-03:00PM
BIOL 104L - 01   Bioinformatics Lab,LAB: TBD In Person,Day and Time:
BIOL 105 - 01   Genetics,LEC: ClassroomUnit 002,TuTh 11:40AM-01:15PM
BIOL 105L - 01   Eukaryotc Genet Lab,LAB: Thimann Lab 203,TuTh 02:30PM-05:30PM
BIOL 110 - 01   Cell Biology,LEC: J Baskin Engr 152,TuTh 09:50AM-11:25AM
BIOL 111B - 01   Immunology II,LEC: PhysSciences 136,TuTh 05:20PM-06:55PM
BIOL 112 - 01   Principles of Virology,LEC: Engineer 2 192,MWF 09:20AM-10:25AM
BIOL 113 - 01   Prin of Epidemiology,LEC: PhysSciences 110,TuTh 09:50AM-11:25AM
BIOL 114 - 01   Cancer Cell Biology,LEC: Thim Lecture 001,TuTh 01:30PM-03:05PM
BIOL 115L - 01   Eukaryotc Molec Lab,LAB: Thimann Lab 215,MW 09:30AM-01:30PM
BIOL 129A - 01   Adv Topics:Systm Neuro,LEC: Crown Clrm 201,TuTh 05:20PM-08:20PM
BIOL 129B - 01   Adv Dev Neuro,LEC: Cowell Acad 216,TuTh 09:50AM-11:25AM
BIOL 129L - 01   Neurobiology Lab,LAB: Thimann Lab 203,MW 02:00PM-05:00PM
BIOL 130 - 01   Human Physiology,LEC: Sci & Engr Library 206,TuTh 03:20PM-04:55PM
BIOL 130L - 01   Human Physiology Lab,LAB,Day and Time:
BIOL 186F - 01   Undergrad Rsrch:MCDB,LAB: Sinsheimer Lb 123,W 04:00PM-05:05PM
BIOL 186L - 01   Undergrad Rsrch MCD,LAB: Sinsheimer Lb 123,W 04:00PM-05:05PM
BIOL 186R - 01   UG Research: MCD Bio,LAB: Sinsheimer Lb 123,W 04:00PM-05:05PM
BIOL 188 - 01   A Life in Medicine,SEM: PhysSciences 130,TuTh 06:00PM-08:00PM
BIOL 189 - 01   Health Sci Intrnshp,FLD,Day and Time:
BIOL 280A - 01   Molec Gene Yeasts,SEM,Day and Time:
BIOL 280B - 01   Chromatin Structure,SEM,Day and Time:
BIOL 280C - 01   Mammalian Brain Dev,SEM,Day and Time:
BIOL 280D - 01   RNA Processing,SEM,Day and Time:
BIOL 280E - 01   Meiotic Chrom Dynms,SEM,Day and Time:
BIOL 280F - 01   Vert Neural Connect,SEM,Day and Time:
BIOL 280G - 01   Mole Mech Behavior Dev,SEM,Day and Time:
BIOL 280H - 01   Chromatn/Transcript,SEM,Day and Time:
BIOL 280I - 01   EpigeneticGeneSilenc,SEM,Day and Time:
BIOL 280J - 01   Macromoleculr Cmplx,SEM,Day and Time:
BIOL 280K - 01   Cell Cycle Research,SEM,Day and Time:
BIOL 280L - 01   Development,SEM,Day and Time:
BIOL 280M - 01   Post-Trans Control,SEM,Day and Time:
BIOL 280N - 01   Noncoding RNA Immune,SEM,Day and Time:
BIOL 280O - 01   Cell type comp neural,SEM,Day and Time:
BIOL 280P - 01   QualityCtrl Gene Exp,SEM,Day and Time:
BIOL 280Q - 01   Telomeres and Telomera,SEM,Day and Time:
BIOL 280R - 01   Gene reg C. elegans,SEM,Day and Time:
BIOL 280S - 01   Stem Cell Genomics,SEM,Day and Time:
BIOL 280T - 01   Cancer Stem Cell Biolo,SEM,Day and Time:
BIOL 280U - 01   Drosophila Embryo,SEM,Day and Time:
BIOL 280V - 01   Translational pediatri,SEM,Day and Time:
BIOL 280W - 01   Gen ID of Neural Circ,SEM,Day and Time:
BIOL 280X - 01   RNA-mediated epigeneti,SEM,Day and Time:
BIOL 280Y - 01   Synaptic Plasticity,SEM,Day and Time:
BIOL 280Z - 01   ProstaDev&CancerBio,SEM,Day and Time:
BIOL 281A - 01   Host Viral Infections,SEM,Day and Time:
BIOL 281B - 01   Mucosal Immun/Microbio,SEM,Day and Time:
BIOL 290 - 01   Career Planning,LEC: BiomedSci 300,M 10:00AM-12:00PM
BIOL 291 - 01   Mol Cell Devel Bio,SEM: N. Sci Annex 101,M 12:00PM-01:05PM
BIOL 292 - 01   MCD Seminar,SEM: N. Sci Annex 101,F 12:00PM-01:05PM
