Class,Location,Day/Time
BIOC 100C - DIS 01C,J Baskin Engr 156,F 10:40AM-11:45AM
BIOC 100C - DIS 01D,Earth&Marine B214,F 01:20PM-02:25PM
BIOC 163B - 01   Bioc Thermodynamics,LEC: Engineer 2 194,MWF 01:20PM-02:25PM
BIOC 163B - DIS 01A,McHenry Lib 1350,W 10:40AM-11:45AM
BIOC 163B - DIS 01B,McHenry Lib 1350,F 10:40AM-11:45AM
BIOE 107 - 01   Ecology,LEC: CoastBio 110,TuTh 02:25PM-04:00PM
BIOE 107 - 01 DIS 01A,CoastBio 110,Tu 04:15PM-05:20PM
BIOE 107 - 01 DIS 01B,CoastBio 115,W 08:40AM-09:45AM
BIOE 107 - 01 DIS 01C,CoastBio 115,Th 01:00PM-02:05PM
BIOE 107 - 01 DIS 01D,CoastBio 115,Th 04:15PM-05:20PM
BIOE 109 - 01   Evolution,LEC: CoastBio 110,TuTh 12:25PM-02:00PM
BIOE 109 - 01 DIS 01A,CoastBio 115,Tu 02:20PM-03:25PM
BIOE 109 - 01 DIS 01B,CoastBio 115,W 03:40PM-04:45PM
BIOE 109 - 01 DIS 01C,CoastBio 115,Th 11:00AM-12:05PM
BIOE 109 - 01 DIS 01D,CoastBio 115,Th 02:20PM-03:25PM
BIOE 118 - 01   Plants and Society,LEC: N. Sci Annex 101,TuTh 09:50AM-11:25AM
BIOE 118 - 01 DIS 01A,Thimann Lab 239,Th 03:20PM-04:25PM
BIOE 118 - 01 DIS 01B,PhysSciences 140,Tu 05:20PM-06:25PM
BIOE 120 - 01   Marine Botany,LEC: CoastBio 110,TuTh 08:25AM-10:00AM
BIOE 120L - 01   Marine Botany Lab,LAB: Lg Discovery 128,W 10:30AM-01:30PM
BIOE 120L - 02   Marine Botany Lab,LAB: Lg Discovery 128,W 02:15PM-05:15PM
BIOE 120L - 03   Marine Botany Lab,LAB: Lg Discovery 128,Th 10:30AM-01:30PM
BIOE 120L - 04   Marine Botany Lab,LAB: Lg Discovery 128,Th 02:15PM-05:15PM
"BIOE 121 - 01   Plants, Earth, Climate",LEC: CoastBio 110,MW 03:25PM-05:00PM
BIOE 121 - 01 DIS 01A,CoastBio 110,M 05:15PM-06:20PM
BIOE 128L - 01   LrgMarineVertebField,FLD: CoastBio 203,TuTh 09:00AM-01:00PM
BIOE 129 - 01   Biol Marine Mammals,LEC: CoastBio 110,MW 10:00AM-11:35AM
BIOE 129L - 01   Marine Mammals Lab,LAB: CoastBio 115,M 12:00PM-03:00PM
BIOE 129L - 02   Marine Mammals Lab,LAB: CoastBio 115,Tu 08:30AM-11:30AM
